codigo_ibge,anomes_s,qtd_fam_pob,qtd_fam_baixa_renda,qtd_fam_acima_meio_sm
110001,202412,1360,1222,2089
110002,202412,7001,4492,8061
110003,202412,240,315,514
110004,202412,4822,4249,8628
110005,202412,1043,742,1319
110006,202412,382,608,1109
110007,202412,210,402,697
110008,202412,1823,727,1317
110009,202412,1067,1730,2560
110010,202412,4714,2059,3047
110011,202412,2955,2875,4583
110012,202412,6947,5593,11108
110013,202412,2173,2190,3854
110014,202412,1116,1126,1769
110015,202412,2109,1832,3075
110018,202412,1221,1502,3191
110020,202412,51405,21783,42935
110025,202412,1828,1214,2795
110026,202412,173,216,342
110028,202412,1579,2911,4967
110029,202412,533,401,987
110030,202412,4004,4688,9754
110032,202412,887,1192,2516
110033,202412,2406,1533,2035
110034,202412,1199,838,1266
110037,202412,240,601,793
110040,202412,994,1142,1600
110045,202412,1728,1419,2246
110050,202412,399,562,989
110060,202412,236,315,624
110070,202412,450,586,819
110080,202412,3574,1391,2827
110090,202412,222,190,363
110092,202412,764,383,841
110094,202412,992,1215,1492
110100,202412,778,640,791
110110,202412,605,697,905
110120,202412,575,362,710
110130,202412,700,759,1515
110140,202412,1297,739,1283
110143,202412,680,379,664
110145,202412,330,241,602
110146,202412,229,156,376
110147,202412,258,181,578
110148,202412,162,273,852
110149,202412,1173,1053,1710
110150,202412,714,912,1305
110155,202412,317,266,504
110160,202412,421,558,861
110170,202412,954,456,1053
110175,202412,985,567,1266
110180,202412,436,408,624
120001,202412,2079,787,1354
120005,202412,1803,479,412
120010,202412,5128,1014,1595
120013,202412,1712,808,851
120017,202412,1863,699,1079
120020,202412,13389,3554,3136
120025,202412,2617,777,1143
120030,202412,5096,1785,1103
120032,202412,1685,302,284
120033,202412,4373,669,676
120034,202412,2404,566,833
120035,202412,3591,656,731
120038,202412,2197,779,1076
120039,202412,1888,454,394
120040,202412,40354,16177,22259
120042,202412,2916,549,569
120043,202412,1111,266,402
120045,202412,3083,1136,1692
120050,202412,8613,1850,2061
120060,202412,8558,1868,1887
120070,202412,2639,940,1131
120080,202412,4797,915,1568
130002,202412,3169,783,865
130006,202412,2352,394,779
130008,202412,2381,351,613
130010,202412,3814,368,1054
130014,202412,2033,1033,1701
130020,202412,1972,744,745
130030,202412,16381,925,2617
130040,202412,3406,653,1167
130050,202412,5821,1304,1395
130060,202412,6922,1232,1622
130063,202412,5419,768,1297
130068,202412,3663,442,904
130070,202412,5302,1510,1966
130080,202412,6292,1247,1769
130083,202412,2678,355,709
130090,202412,3485,460,850
130100,202412,5965,1235,1574
130110,202412,5069,1731,2847
