municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-01 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-02 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-03 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-04 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-05 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-06 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-07 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-08 21:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-09 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-10 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 12:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 13:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 14:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 15:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 16:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 17:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 18:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 19:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-11 20:10:00.0;chuva;0,00
RIBEIRÃO PRETO;354340224H;SP;Ribeirao Preto;-21,190218;-47,797662;7,62;2025-07-12 12:10:00.0;chuva;0,00
